time,data
12.774658,-3.407510e-20
12.775146,-3.375608e-20
12.775635,-3.419275e-20
12.776123,9.290318e-21
12.776611,-2.573527e-20
12.777100,2.607005e-21
12.777588,5.442304e-21
12.778076,1.056754e-20
12.778564,-4.263269e-21
12.779053,2.950847e-20
12.779541,3.814328e-20
12.780029,2.353158e-20
12.780518,3.260376e-20
12.781006,3.589305e-20
12.781494,5.062898e-20
12.781982,5.136310e-20
12.782471,6.671865e-20
12.782959,4.852521e-20
12.783447,6.228989e-20
12.783936,5.494983e-20
12.784424,7.527643e-20
12.784912,6.858899e-20
12.785400,7.618921e-20
12.785889,8.568634e-20
12.786377,6.842257e-20
12.786865,7.911119e-20
12.787354,9.514257e-20
12.787842,8.265491e-20
12.788330,1.124259e-19
12.788818,9.809215e-20
12.789307,1.058939e-19
12.789795,8.530192e-20
12.790283,1.429444e-19
12.790771,1.013139e-19
12.791260,1.096604e-19
12.791748,1.162794e-19
12.792236,1.252076e-19
12.792725,1.343944e-19
12.793213,1.084745e-19
12.793701,1.235826e-19
12.794189,1.186324e-19
12.794678,1.303240e-19
12.795166,1.046239e-19
12.795654,1.240637e-19
12.796143,1.118764e-19
12.796631,1.182264e-19
12.797119,1.169772e-19
12.797607,1.174969e-19
12.798096,1.000585e-19
12.798584,1.183667e-19
12.799072,1.183527e-19
12.799561,9.794499e-20
12.800049,1.172812e-19
12.800537,9.851527e-20
12.801025,1.143714e-19
12.801514,1.112692e-19
12.802002,7.414315e-20
12.802490,9.007135e-20
12.802979,8.825759e-20
12.803467,8.780086e-20
12.803955,9.343240e-20
12.804443,9.186517e-20
12.804932,6.978975e-20
12.805420,5.353392e-20
12.805908,7.438934e-20
12.806396,4.915781e-20
12.806885,5.226997e-20
12.807373,3.954628e-20
12.807861,4.430348e-20
12.808350,2.312737e-20
12.808838,3.088380e-20
12.809326,-8.401592e-21
12.809814,2.705550e-20
12.810303,1.869083e-20
12.810791,-1.086008e-20
12.811279,-2.167872e-20
12.811768,-2.022703e-20
12.812256,-2.247460e-20
12.812744,-3.566401e-20
12.813232,-4.779879e-20
12.813721,-2.330287e-20
12.814209,-5.824124e-20
12.814697,-6.390108e-20
12.815186,-3.636269e-20
12.815674,-8.302976e-20
12.816162,-7.666011e-20
12.816650,-6.653600e-20
12.817139,-8.109911e-20
12.817627,-7.475267e-20
12.818115,-1.173946e-19
12.818604,-6.102319e-20
12.819092,-1.083634e-19
12.819580,-1.000912e-19
12.820068,-1.083452e-19
12.820557,-9.327173e-20
12.821045,-1.093344e-19
12.821533,-1.024087e-19
12.822021,-1.197451e-19
12.822510,-1.129026e-19
12.822998,-1.193326e-19
12.823486,-9.251328e-20
12.823975,-1.196633e-19
12.824463,-9.917233e-20
12.824951,-1.068557e-19
12.825439,-1.063126e-19
12.825928,-9.002170e-20
12.826416,-8.572753e-20
12.826904,-9.772162e-20
12.827393,-8.890042e-20
12.827881,-9.724957e-20
12.828369,-8.309320e-20
12.828857,-9.996853e-20
12.829346,-7.050270e-20
12.829834,-4.033011e-20
12.830322,-7.144489e-20
12.830811,-5.629857e-20
12.831299,-4.482983e-20
12.831787,-4.814807e-20
12.832275,-3.426216e-20
12.832764,-3.678176e-20
12.833252,-1.502607e-20
12.833740,-3.749853e-20
12.834229,-1.548923e-20
12.834717,6.246337e-21
12.835205,-2.125048e-20
12.835693,-9.514125e-21
12.836182,5.141022e-20
12.836670,1.693428e-20
12.837158,1.745757e-20
12.837646,1.625673e-20
12.838135,4.875708e-20
12.838623,1.415082e-20
12.839111,4.728705e-20
