time,template
0.313232,4.751492e-20
0.313477,4.959553e-20
0.313721,5.142249e-20
0.313965,5.298893e-20
0.314209,5.428651e-20
0.314453,5.530782e-20
0.314697,5.604788e-20
0.314941,5.650223e-20
0.315186,5.666888e-20
0.315430,5.654667e-20
0.315674,5.613617e-20
0.315918,5.543870e-20
0.316162,5.445846e-20
0.316406,5.319958e-20
0.316650,5.166880e-20
0.316895,4.987387e-20
0.317139,4.782390e-20
0.317383,4.552828e-20
0.317627,4.299727e-20
0.317871,4.024929e-20
0.318115,3.729133e-20
0.318359,3.414326e-20
0.318604,3.081847e-20
0.318848,2.733677e-20
0.319092,2.370983e-20
0.319336,1.996383e-20
0.319580,1.611324e-20
0.319824,1.217932e-20
0.320068,8.178805e-21
0.320312,4.137254e-21
0.320557,7.196237e-23
0.320801,-3.992765e-21
0.321045,-8.039527e-21
0.321289,-1.204751e-20
0.321533,-1.599272e-20
0.321777,-1.985988e-20
0.322021,-2.362410e-20
0.322266,-2.727074e-20
0.322510,-3.077485e-20
0.322754,-3.412571e-20
0.322998,-3.730017e-20
0.323242,-4.028209e-20
0.323486,-4.305975e-20
0.323730,-4.561618e-20
0.323975,-4.793818e-20
0.324219,-5.001374e-20
0.324463,-5.183356e-20
0.324707,-5.338573e-20
0.324951,-5.466350e-20
0.325195,-5.565987e-20
0.325439,-5.636881e-20
0.325684,-5.678709e-20
0.325928,-5.691244e-20
0.326172,-5.674386e-20
0.326416,-5.628225e-20
0.326660,-5.552918e-20
0.326904,-5.448925e-20
0.327148,-5.316691e-20
0.327393,-5.156932e-20
0.327637,-4.970384e-20
0.327881,-4.758070e-20
0.328125,-4.521083e-20
0.328369,-4.260645e-20
0.328613,-3.977977e-20
0.328857,-3.674509e-20
0.329102,-3.352068e-20
0.329346,-3.011901e-20
0.329590,-2.656344e-20
0.329834,-2.286635e-20
0.330078,-1.904821e-20
0.330322,-1.513206e-20
0.330566,-1.113489e-20
0.330811,-7.080815e-21
0.331055,-2.985709e-21
0.331299,1.125733e-21
0.331543,5.232141e-21
0.331787,9.312167e-21
0.332031,1.334798e-20
0.332275,1.731343e-20
0.332520,2.118960e-20
0.332764,2.495942e-20
0.333008,2.859841e-20
0.333252,3.208920e-20
0.333496,3.541495e-20
0.333740,3.855808e-20
0.333984,4.149952e-20
0.334229,4.422636e-20
0.334473,4.672307e-20
0.334717,4.897745e-20
0.334961,5.097738e-20
0.335205,5.271002e-20
0.335449,5.416972e-20
0.335693,5.534644e-20
0.335938,5.623366e-20
0.336182,5.682724e-20
0.336426,5.712414e-20
0.336670,5.712211e-20
0.336914,5.682134e-20
0.337158,5.622272e-20
0.337402,5.532946e-20
0.337646,5.414622e-20
0.337891,5.267910e-20
0.338135,5.093574e-20
0.338379,4.892341e-20
0.338623,4.665398e-20
0.338867,4.414040e-20
0.339111,4.139250e-20
0.339355,3.842796e-20
0.339600,3.525982e-20
0.339844,3.190442e-20
0.340088,2.838219e-20
0.340332,2.470861e-20
0.340576,2.090442e-20
0.340820,1.698793e-20
0.341064,1.298299e-20
0.341309,8.905541e-21
0.341553,4.780386e-21
0.341797,6.292276e-22
0.342041,-3.526084e-21
0.342285,-7.667140e-21
0.342529,-1.176689e-20
0.342773,-1.580547e-20
0.343018,-1.976487e-20
0.343262,-2.361758e-20
0.343506,-2.735122e-20
0.343750,-3.093968e-20
0.343994,-3.436417e-20
0.344238,-3.761077e-20
0.344482,-4.066059e-20
0.344727,-4.349493e-20
0.344971,-4.610111e-20
0.345215,-4.846504e-20
0.345459,-5.057219e-20
0.345703,-5.241381e-20
0.345947,-5.397765e-20
0.346191,-5.525667e-20
