time,SNR
0.352295,0.811561
0.352783,1.050241
0.353271,1.213048
0.353760,1.272110
0.354248,1.243332
0.354736,1.181560
0.355225,1.132415
0.355713,1.096382
0.356201,1.058546
0.356689,1.011726
0.357178,0.968323
0.357666,0.936204
0.358154,0.916337
0.358643,0.898769
0.359131,0.882062
0.359619,0.889332
0.360107,0.942528
0.360596,1.055520
0.361084,1.217353
0.361572,1.382300
0.362061,1.515891
0.362549,1.608566
0.363037,1.678137
0.363525,1.782945
0.364014,1.965439
0.364502,2.197958
0.364990,2.390994
0.365479,2.452612
0.365967,2.352599
0.366455,2.118483
0.366943,1.819107
0.367432,1.533090
0.367920,1.296365
0.368408,1.081453
0.368896,0.853663
0.369385,0.627344
0.369873,0.465291
0.370361,0.437200
0.370850,0.531653
0.371338,0.690099
0.371826,0.866809
0.372314,1.027642
0.372803,1.138819
0.373291,1.192154
0.373779,1.207632
0.374268,1.215254
0.374756,1.205529
0.375244,1.131324
0.375732,0.954373
0.376221,0.686542
0.376709,0.392260
0.377197,0.162132
0.377686,0.197168
0.378174,0.371814
0.378662,0.580832
0.379150,0.806160
0.379639,1.001875
0.380127,1.130162
0.380615,1.191035
0.381104,1.225088
0.381592,1.277076
0.382080,1.338144
0.382568,1.362241
0.383057,1.319412
0.383545,1.218571
0.384033,1.113144
0.384521,1.045321
0.385010,1.036222
0.385498,1.068267
0.385986,1.105420
0.386475,1.123110
0.386963,1.124806
0.387451,1.135112
0.387939,1.185056
0.388428,1.270768
0.388916,1.336515
0.389404,1.327057
0.389893,1.219100
0.390381,1.028309
0.390869,0.798297
0.391357,0.571563
0.391846,0.383685
0.392334,0.257330
0.392822,0.191951
0.393311,0.156540
0.393799,0.131613
0.394287,0.136967
0.394775,0.172609
0.395264,0.236169
0.395752,0.371382
0.396240,0.573872
0.396729,0.779578
0.397217,0.914193
0.397705,0.948213
0.398193,0.918205
0.398682,0.907746
0.399170,0.956590
0.399658,1.015866
0.400146,1.020101
0.400635,0.950645
0.401123,0.819496
0.401611,0.673465
0.402100,0.547581
0.402588,0.444198
0.403076,0.343197
0.403564,0.242586
0.404053,0.210449
0.404541,0.307018
0.405029,0.456642
0.405518,0.603669
0.406006,0.717907
0.406494,0.784020
0.406982,0.800673
0.407471,0.787456
0.407959,0.766857
0.408447,0.754058
0.408936,0.738389
0.409424,0.700385
0.409912,0.629414
0.410400,0.523479
0.410889,0.401189
0.411377,0.296323
0.411865,0.249840
0.412354,0.296462
0.412842,0.419293
0.413330,0.580383
0.413818,0.739134
0.414307,0.868191
0.414795,0.955981
0.415283,1.016688
0.415771,1.075126
0.416260,1.150585
0.416748,1.241442
0.417236,1.330524
0.417725,1.400934
0.418213,1.438974
0.418701,1.443149
0.419189,1.437758
0.419678,1.456588
0.420166,1.525012
0.420654,1.650386
0.421143,1.816789
0.421631,1.984997
0.422119,2.104581
0.422607,2.126318
0.423096,2.017202
0.423584,1.775443
0.424072,1.442614
0.424561,1.085703
0.425049,0.771720
0.425537,0.538295
0.426025,0.369028
0.426514,0.224418
0.427002,0.121429
0.427490,0.204205
0.427979,0.356735
0.428467,0.519033
0.428955,0.699463
0.429443,0.888643
0.429932,1.050602
0.430420,1.155363
0.430908,1.196264
0.431396,1.198688
0.431885,1.205058
0.432373,1.258221
0.432861,1.362708
0.433350,1.469479
0.433838,1.526492
0.434326,1.509171
0.434814,1.444870
0.435303,1.407524
0.435791,1.469765
0.436279,1.619984
0.436768,1.781720
0.437256,1.888623
0.437744,1.900450
0.438232,1.821391
0.438721,1.681739
0.439209,1.506360
0.439697,1.307256
0.440186,1.090557
0.440674,0.862316
0.441162,0.646120
0.441650,0.473649
0.442139,0.345779
0.442627,0.225982
0.443115,0.104819
0.443604,0.163719
0.444092,0.337266
0.444580,0.493442
0.445068,0.611405
0.445557,0.698428
0.446045,0.783263
0.446533,0.889172
0.447021,1.007265
0.447510,1.113235
0.447998,1.185502
0.448486,1.217490
0.448975,1.208284
0.449463,1.181639
0.449951,1.156537
0.450439,1.154019
0.450928,1.176536
0.451416,1.206530
0.451904,1.221811
0.452393,1.201613
0.452881,1.132632
0.453369,1.009269
0.453857,0.859176
0.454346,0.746339
0.454834,0.721069
0.455322,0.748833
0.455811,0.759127
0.456299,0.726091
0.456787,0.663113
